id,label,kind,edges,confirmed,inferred,confirmed_share
craig,Hannah Priscilla Craig,person,2,1,1,50%
croce,STEIN-DELLA CROCE,person,2,0,2,0%
danaher,Maya (Mandela) Danaher,person,2,1,1,50%
estrada,Paola Estrada,person,2,2,0,100%
ips,Institute for Policy Studies,org,2,1,1,50%
gunther,Andreas Günther,person,2,2,0,100%
henderson,Rita Henderson,person,2,0,2,0%
irgens_moller,Kirsten Irgens-Moller,person,2,2,0,100%
kleiner,Franziska Kleiner,person,2,1,1,50%
kovalik,Dan Kovalik,person,2,0,2,0%
liebich,Stefan Liebich,person,2,2,0,100%
irgc,Islamic Revolutionary Guard Corps (IRGC),org,2,1,1,50%
nmeyer,Neal Meyer,person,2,2,0,100%
per_abraham_hassen,Abraham Hassen,person,2,1,1,50%
per_alyssa_rubin,Alyssa Rubin,person,2,1,1,50%
per_antonio_gutierrez,Antonio Gutierrez,person,2,1,1,50%
per_aquib_s_yacoob,Aquib S. Yacoob,person,2,1,1,50%
per_devin_michael_lowe,Devin Michael Lowe,person,2,1,1,50%
per_erika_takeo,Erika Takeo,person,2,1,1,50%
per_firas_nasr,Firas Nasr,person,2,1,1,50%
per_gary_ghirardi,Gary Ghirardi,person,2,1,1,50%
per_gila_svirsky,Gila Svirsky,person,2,1,1,50%
per_hannah_safran,Hannah Safran,person,2,1,1,50%
per_joan_donovan,Joan Donovan,person,2,1,1,50%
hub_dead_prez,Dead Prez,org,2,0,2,0%
hub_talib_kweli,Talib Kweli,person,2,0,2,0%
per_lourdez,Lourdez,person,2,2,0,100%
per_makayla_heiser,Makayla Heiser,person,2,1,1,50%
per_mark_swartz,Mark Swartz,person,2,1,1,50%
per_mattie,Mattie,person,2,2,0,100%
per_maurice_cook,Maurice Cook,person,2,1,1,50%
per_meghan_maurus,Meghan Maurus,person,2,1,1,50%
per_melissa_barber_md,"Melissa Barber, MD",person,2,1,1,50%
per_michael_cox,Michael Cox,person,2,1,1,50%
hub_massachusetts_bail,Massachusetts Bail Fund,org,2,0,2,0%
per_michael_novick,Michael Novick,person,2,1,1,50%
per_monxo_lopez,Monxo Lopez,person,2,1,1,50%
per_mychal_johnson,Mychal Johnson,person,2,1,1,50%
per_oren_robinson,Oren Robinson,person,2,1,1,50%
per_page_may,Page May,person,2,1,1,50%
per_pat_alviso,Pat Alviso,person,2,1,1,50%
per_rebecca_heinegg,Rebecca Heinegg,person,2,1,1,50%
per_rick_jahnkow,Rick Jahnkow,person,2,1,1,50%
per_samantha_parsons,Samantha Parsons,person,2,2,0,100%
hub_trans_justice_funding,Trans Justice Funding Project,org,2,0,2,0%
per_t_sheri_dickerson,T. Sheri Dickerson,person,2,1,1,50%
hub_dream_defenders,Dream Defenders,org,2,0,2,0%
per_trayce_peterson,Trayce Peterson,person,2,1,1,50%
per_vee_morris_moore,Vee Morris Moore,person,2,1,1,50%
reyes,Karla Reyes,person,2,1,1,50%
wfp,Working Families Party,org,2,0,2,0%
ydsa,Young DSA (YDSA),org,2,0,2,0%
rub_african_national_congress,African National Congress,org,2,1,1,50%
