url,domain,edges,distinct_nodes,complete_clique,relations,nodes
https://www.influencewatch.org/organization/kevin-zeese-emerging-activists-fund/,influencewatch.org,2,3,0,affiliation 1; founder 1,Green Party; Kevin Zeese Emerging …; Popular Resistance
https://www.nbcnews.com/id/wbna10704025,nbcnews.com,2,3,0,role 1; visited 1,Hugo Chavez; Cindy Sheehan; Venezuela
https://www.thedailybeast.com/neville-singham-funded-breakthrough-news-is-pushing-moscow-beijing-propaganda/,thedailybeast.com,2,3,0,hosted 1; secretary 1,BreakThrough News; Claudia De la Cruz; Vijay Prashad
https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html,yahoo.com,2,3,0,foreign_tie 1; lauded 1,Cuba; Manolo de los Santos; Hamas
http://immigrantsolidarity.org/China2017/Article/Article.html,immigrantsolidarity.org,1,2,1,organized 1,China (PRC); National Immigrant So…
https://afgj.org/chuck-kaufman-presente,afgj.org,1,2,1,board_member 1,Chuck Kaufman; Honduras Solidarity N…
https://afgj.org/partner-delegation-atc,afgj.org,1,2,1,coordinator 1,Friends of the ATC; Erika Takeo
https://afgj.org/visiting-cuba,afgj.org,1,2,1,visited 1,Cuba; James Patrick Jordan
https://archive.thinkprogress.org/as-verdict-looms-in-ferguson-activists-play-the-long-game-eb069e39181f/,archive.thinkprogress.org,1,2,1,co_founder 1,"Taureen ""Tory"" Russell; Tef Poe"
https://assinvpopactcom.org/,assinvpopactcom.org,1,2,1,fiscal_sponsor 1,Good Shepherd Collect…; Association for Inves…
https://ballotpedia.org/Karina_Garcia,ballotpedia.org,1,2,1,running_mate 1,Claudia De la Cruz; Karina Garcia
https://breakingthechainsmag.org/women-on-the-frontlines-an-interview-with-gloria-la-riva/,breakingthechainsmag.org,1,2,1,defends 1,Cuba; Gloria La Riva
https://breakthroughnews.org/2019/07/20/the-year-in-review-a-look-at-our-coverage/,breakthroughnews.org,1,2,1,hosted 1,International Peoples…; Venezuela
https://canadiannetworkoncuba.ca/,canadiannetworkoncuba.ca,1,2,1,affiliation 1,Cuba; Canadian Network on C…
https://colorlines.com/articles/michael-brown-one-year-later,colorlines.com,1,2,1,associate 1,Tara Thompson; Tef Poe
https://en.wikipedia.org/wiki/A.N.S.W.E.R.,en.wikipedia.org,1,2,1,affiliation 1,ANSWER Coalition; Party for Socialism &…
https://en.wikipedia.org/wiki/Alicia_Garza,en.wikipedia.org,1,2,1,co_founder 1,Alicia Garza; Opal Tometi
https://en.wikipedia.org/wiki/Alpha_66,en.wikipedia.org,1,2,1,active_in 1,Cuba; Alpha 66
https://en.wikipedia.org/wiki/Democratic_Socialists_of_America,en.wikipedia.org,1,2,1,affiliation 1,Democratic Socialists…; Young DSA (YDSA)
https://en.wikipedia.org/wiki/Eddie_Conway,en.wikipedia.org,1,2,1,member 1,Marshall Eddie Conway; Black Panther Party
https://en.wikipedia.org/wiki/General_Baker,en.wikipedia.org,1,2,1,spouse 1,General Gordon Baker …; Marian Kramer
https://en.wikipedia.org/wiki/George_Galloway,en.wikipedia.org,1,2,1,foreign_tie 1,George Galloway; Russia
https://en.wikipedia.org/wiki/Gloria_La_Riva,en.wikipedia.org,1,2,1,running_mate 1,Gloria La Riva; Eugene Puryear
https://en.wikipedia.org/wiki/Gustavo_Petro,en.wikipedia.org,1,2,1,foreign_tie 1,Gustavo Petro; Venezuela
https://en.wikipedia.org/wiki/HispanTV,en.wikipedia.org,1,2,1,spanish_version 1,HispanTV; Press TV
https://en.wikipedia.org/wiki/Jodie_Evans,en.wikipedia.org,1,2,1,co_founder 1,Medea Benjamin; Jodie Evans
https://en.wikipedia.org/wiki/Macheteros,en.wikipedia.org,1,2,1,collaborator 1,FALN; Macheteros
https://en.wikipedia.org/wiki/Nayef_Hawatmeh,en.wikipedia.org,1,2,1,founder 1,Popular Front for the…; Nayef Hawatmeh
https://en.wikipedia.org/wiki/Popular_Front_for_the_Liberation_of_Palestine,en.wikipedia.org,1,2,1,collaborator 1,Popular Front for the…; Hamas
https://en.wikipedia.org/wiki/Student_Nonviolent_Coordinating_Committee,en.wikipedia.org,1,2,1,affiliation 1,Black Panther Party; Student Nonviolent Co…
https://en.wikipedia.org/wiki/Vijay_Prashad,en.wikipedia.org,1,2,1,associate 1,Vijay Prashad; Neville Roy Singham
https://fightbacknews.org/articles/venezuela-s-president-maduro-speaks-25th-sao-paulo-forum,fightbacknews.org,1,2,1,praised 1,Hugo Chavez; Nicolás Maduro
https://home.treasury.gov/news/press-releases/sm611,home.treasury.gov,1,2,1,affiliation 1,Islamic Republic of I…; New Horizon Organizat…
https://iacenter.org/2019/11/01/the-venceremos-brigade-50-years-of-solidarity-with-cuba/,iacenter.org,1,2,1,sends_volunteers_to 1,Cuba; Venceremos Brigade
https://kunstlerlaw.net/index.php/rebecca-heinegg/,kunstlerlaw.net,1,2,1,intern 1,Center for Constituti…; Rebecca Heinegg
https://liberationschool.org/hong-kong-and-china/,liberationschool.org,1,2,1,aligned 1,China (PRC); Russia
https://nnoc.org,nnoc.org,1,2,1,supports 1,Cuba; National Network on C…
https://orinocotribune.com/,orinocotribune.com,1,2,1,from 1,Orinoco Tribune; Venezuela
https://peoplesforum.org/instructor/willie-baptist/,peoplesforum.org,1,2,1,organizer 1,William Willie Baptis…; Poor People’s Economi…
https://progressive.international/members/,progressive.international,1,2,1,member 1,CODEPINK; Progressive Internati…
https://projects.propublica.org/nonprofits/organizations/131624238,projects.propublica.org,1,2,1,role 1,Cornel West; Union Theological Sem…
https://projects.propublica.org/nonprofits/organizations/262823386,projects.propublica.org,1,2,1,director 1,Ann Wright; CODEPINK
https://projects.propublica.org/nonprofits/organizations/943382208,projects.propublica.org,1,2,1,president 1,Nathalie Patricia Hri…; Progress Unity Fund
https://revcom.us/movement-for-revolution/stop-mass-incarceration/stop-mass-incarceration-carl-dix.html,revcom.us,1,2,1,co_founder 1,Stop Mass Incarcerati…; Carl Dix
https://rosalux.nyc/cuba-is-being-strangled/,rosalux.nyc,1,2,1,foreign_tie 1,Cuba; Venezuela
https://samidoun.net/2023/01/28-january-public-launch-of-the-international-peoples-tribunal-on-u-s-imperialism-sanctions-blockades-and-economic-coercive-measures/,samidoun.net,1,2,1,co_sponsor 1,International People’…; Samidoun Palestinian …
https://sanctionssearch.ofac.treas.gov/Details.aspx?id=45062,sanctionssearch.ofac.treas.gov,1,2,1,located_in 1,Islamic Republic of I…; Press TV
https://sanctionstribunal.org,sanctionstribunal.org,1,2,1,named_after 1,Cuba; Tricontinental: Insti…
https://simple.wikipedia.org/wiki/Karina_Garcia,simple.wikipedia.org,1,2,1,running_mate 1,Claudia De la Cruz; Karina Garcia
https://sputnikglobe.com/20200627/huge-covid-spikes-in-us-as-trump-tries-to-cut-health-care-for-millions-1079731935.html,sputnikglobe.com,1,2,1,appeared_with 1,Brian Becker; Maurice Cook
https://thejerichomovement.com,thejerichomovement.com,1,2,1,solidarity 1,The Jericho Movement; Samidoun Palestinian …
https://therealnews.com/international-election-observers-and-journalists-contest-claims-of-venezuela-election-fraud,therealnews.com,1,2,1,president 1,Nicolás Maduro; Venezuela
https://thetricontinental.org/team/,thetricontinental.org,1,2,1,role 1,Tings Chak; Tricontinental: Insti…
https://vb4cuba.com/,vb4cuba.com,1,2,1,fiscal_sponsor 1,The People's Forum; Venceremos Brigade
https://waysandmeans.house.gov/2025/09/04/chairman-smith-exposes-u-s-nonprofit-as-likely-ccp-funded-propaganda-arm-operating-under-tax-exempt-status/,waysandmeans.house.gov,1,2,1,justified 1,The People's Forum; Hamas
https://www.answercoalition.org/april_22_direct_from_venezuela,answercoalition.org,1,2,1,sponsor 1,ANSWER Coalition; Venezuela
https://www.arizonapalestine.org/about.html,arizonapalestine.org,1,2,1,network 1,Arizona Palestine Sol…; People Helping People
https://www.banks.senate.gov/news/press-releases/senator-jim-banks-to-attorney-general-bondi-i-urge-you-to-investigate-code-pink-for-potential-violations-of-fara/,banks.senate.gov,1,2,1,foreign_tie 1,China (PRC); CODEPINK
https://www.codepink.org/day_2,codepink.org,1,2,1,associate 1,Ann Wright; Medea Benjamin
https://www.democracynow.org/2019/2/27/codepinks_medea_benjamin_on_peace_delegation,democracynow.org,1,2,1,met 1,CODEPINK; Mohammad Javad Zarif
https://www.discoverthenetworks.org/individuals/medea-benjamin/,discoverthenetworks.org,1,2,1,relative 1,Alvin Benjamin (1920-…; Medea Benjamin
https://www.economichumanrights.org/speaking-engagements/,economichumanrights.org,1,2,1,met 1,Hugo Chavez; Cheri Honkala
https://www.fgbrdkuba.de/,fgbrdkuba.de,1,2,1,affiliation 1,Cuba; ICAP
https://www.gp.org/2018_sc_elections,gp.org,1,2,1,partner 1,Kevin Zeese; Margaret Flowers
https://www.hatueyproject.org/news/u-s-activists-deliver-60000-in-medical-aid-to-cuban-children-with-cancer/,hatueyproject.org,1,2,1,delivered 1,Cuba; The Hatuey Project
https://www.hondurassolidarity.org,hondurassolidarity.org,1,2,1,supports 1,Global Exchange; Honduras Solidarity N…
https://www.influencewatch.org/non-profit/black-trans-media/,influencewatch.org,1,2,1,grant 1,Black Trans Media; Black Lives Matter Gl…
https://www.influencewatch.org/non-profit/breakthrough-news-btn/,influencewatch.org,1,2,1,collaborator 1,BreakThrough News; Tricontinental: Insti…
https://www.influencewatch.org/non-profit/movement-netlab/,influencewatch.org,1,2,1,split_from 1,Occupy Sandy; Occupy Wall Street
https://www.influencewatch.org/non-profit/us-labor-against-the-war/,influencewatch.org,1,2,1,shared 1,Democratic Socialists…; Labor Against Racism …
https://www.influencewatch.org/organization/arizona-educators-united-aeu/,influencewatch.org,1,2,1,affiliation 1,Democratic Socialists…; Arizona Educators Uni…
https://www.influencewatch.org/organization/arizona-palestine-solidarity-alliance/,influencewatch.org,1,2,1,formed_through 1,Nicaragua Network; Arizona Palestine Sol…
https://www.influencewatch.org/organization/assatas-daughters/,influencewatch.org,1,2,1,exiled 1,Cuba; Assata Shakur
https://www.influencewatch.org/organization/black-lives-matter-oklahoma-city/,influencewatch.org,1,2,1,collaborator 1,Black Lives Matter-Ok…; NAACP
https://www.influencewatch.org/organization/black-movement-law-project/,influencewatch.org,1,2,1,coordinator 1,National Lawyers Guild; Abraham Hassen
https://www.influencewatch.org/organization/interoccupy/,influencewatch.org,1,2,1,began_with 1,Occupy Wall Street; InterOccupy
https://www.influencewatch.org/organization/united-states-against-sweatshops/,influencewatch.org,1,2,1,campaign_manager 1,CODEPINK; Makayla Heiser
https://www.instrumentl.com/990-report/general-baker-institute,instrumentl.com,1,2,1,affiliation 1,General Baker Institu…; Marian Kramer
https://www.internacionalantifascista.org/antifascist-statement-of-caracas/,internacionalantifascista.org,1,2,1,role 1,Nicolás Maduro; Venezuela
https://www.nacle.com/CLE/Courses/Protest-Lawyering-Theory-and-Practice-460,nacle.com,1,2,1,coordinator 1,National Lawyers Guild; Meghan Maurus
https://www.nnomy.org/about-us/steering-committee,nnomy.org,1,2,1,coordinator 1,Military Families Spe…; Pat Alviso
https://www.okgazette.com/arts-culture/strong-spines-3804530,okgazette.com,1,2,1,co_chair 1,Banbose Shango; National Network on C…
https://www.peaceandfreedom.us/index.php/news/elections-campaigns/claudia-de-la-cruz-karina-garcia-the-bios,peaceandfreedom.us,1,2,1,visited 1,Cuba; Claudia De la Cruz
https://www.peoplessupportfoundation.org/,peoplessupportfoundation.org,1,2,1,director 1,Jo Anderson-Figueroa; People's Support Foun…
https://www.persuasion.community/p/the-democratic-socialists-of-america,persuasion.community,1,2,1,endorsed 1,Savannah Kuang; Nicolás Maduro
https://www.radiohc.cu/en/the-hatuey-project-of-the-united-states-reaffirms-its-solidarity-with-cuba/,radiohc.cu,1,2,1,solidarity 1,Cuba; The Hatuey Project
https://www.trtworld.com/magazine/american-activist-from-vietnam-to-gaza-war-my-government-lies-to-me-18204641,trtworld.com,1,2,1,collaborator 1,Medea Benjamin; Tighe Barry
https://x.com/RaniaKhalek,x.com,1,2,1,host 1,BreakThrough News; Rania Abdul Khalek
