edge_idx,source,target,relation,confidence,slices,domain,url
639,rub_p_ren_gonz_lez,rub_the_wasp_network_red_avisp,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/René_González
640,rub_p_rev_lucius_walker,rub_ifco_pastors_for_peace,role,confirmed,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
641,rub_p_robert_f_williams,rub_black_panther_party,cited_historical,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Robert_F._Williams
642,rub_p_robert_f_williams,rub_naacp,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Robert_F._Williams
643,rub_p_suzanne_adely,nlg,role,confirmed,rubio-cuba,nlginternational.org,https://nlginternational.org/2024/07/national-lawyers-guild-report-election-monitoring-delegation-to-the-bolivarian-republic-of-venezuela/
644,rub_palestine_liberation_organ,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
645,rub_palestinian_islamic_jihad,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
646,pflp,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
647,rub_radio_habana,icap,state_media,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
648,rub_republic_of_new_afrika,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
649,rub_student_nonviolent_coordin,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
650,rub_students_for_a_democratic,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
651,rub_the_wasp_network_red_avisp,icap,controls,confirmed,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
652,rub_thousand_currents,rub_black_lives_matter_global,fiscal_sponsor,confirmed,rubio-cuba,blog.charitywatch.org,https://blog.charitywatch.org/legal-battle-ensues-over-control-of-black-lives-matter-global-network-foundation-funds/
653,rub_thousand_currents,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
654,rub_tupamaros,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
656,rub_venceremos_brigade,rub_national_network_on_cuba,member,confirmed,rubio-cuba,nnoc.org,https://nnoc.org/member-orgs/
657,rub_weather_underground,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
658,rub_witness_for_peace_solidari,rub_national_network_on_cuba,member,confirmed,rubio-cuba,nnoc.org,https://nnoc.org/member-orgs/
659,rub_zimbabwe_african_people_s,cuba,foreign_tie,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
660,samidoun,pflp,designated,confirmed,iran-network,home.treasury.gov,https://home.treasury.gov/news/press-releases/jy2646
661,scharenberg,cpc,organized_delegation,inferred,rls-germany,keywiki.org,https://keywiki.org/Albert_Scharenberg
662,scharenberg,rls_nyc,director,confirmed,rls-germany,keywiki.org,https://keywiki.org/Albert_Scharenberg
665,singham,codepink,role,confirmed,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Neville_Roy_Singham
668,singham,pf,role,confirmed,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Neville_Roy_Singham
669,singham,tricontinental,role,confirmed,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Neville_Roy_Singham
670,singham,venezuela,foreign_tie,inferred,singham-spine,washingtonexaminer.com,https://www.washingtonexaminer.com/news/investigations/4408061/who-funds-groups-protesting-america-capture-maduro/
