id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
bello,Walden Bello,rls-germany,334,6,676,-0.83,0.0,afgj-interlock
pf,The People's Forum,hatuey,1040,-451,873,-0.84,0.0,afgj-interlock
duhalde,David Duhalde,rls-germany,-339,-938,659,-0.87,0.0,afgj-projects
rub_british_cuba_solidarity_ca,British Cuba Solidarity Campaign,rubio-cuba,885,111,537,-0.89,0.0,afgj-projects
inv_cosatu,COSATU (Congress of South African Trade Unions),rubio-cuba,10,-95,532,-0.9,0.0,singham-spine
nicanet,Nicaragua Network,latam-solidarity,-255,-15,690,-0.96,0.0,rls-germany
pflp,Popular Front for the Liberation of Palestine (PFLP),iran-network,-170,-43,611,-1.01,0.0,afgj-interlock
rub_al_tajammu,Al-Tajammu,rubio-cuba,742,14,455,-1.02,0.0,afgj-interlock
rub_p_asad_rehman,Asad Rehman,rubio-cuba,731,572,452,-1.03,0.0,afgj-interlock
rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,rubio-cuba,-23,415,421,-1.08,0.0,afgj-interlock
hub_massachusetts_bail,Massachusetts Bail Fund,afgj-interlock,-267,-212,415,-1.09,0.0,rls-germany
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,afgj-projects,-113,-672,564,-1.1,0.0,rubio-cuba
rub_changingfrequencies,changingFrequencies,rubio-cuba,38,111,384,-1.13,0.0,afgj-interlock
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,afgj-projects,405,271,550,-1.15,0.0,rubio-cuba
per_mattie,Mattie,afgj-interlock,-328,1,375,-1.2,0.0,rubio-cuba
rub_student_nonviolent_coordin,Student Nonviolent Coordinating Committee,rubio-cuba,405,-49,338,-1.21,0.0,afgj-interlock
rub_p_nayef_hawatmeh,Nayef Hawatmeh,rubio-cuba,403,604,317,-1.24,0.0,singham-spine
dsa,Democratic Socialists of America,latam-solidarity,0,0,539,-1.34,0.0,afgj-interlock
rub_black_liberation_army,Black Liberation Army,rubio-cuba,220,485,253,-1.34,0.0,afgj-interlock
p_az_jobs_with_justice,AZ Jobs with Justice,afgj-projects,218,333,498,-1.35,0.0,afgj-interlock
p_lgbt_voice_tanzania,LGBT Voice Tanzania,afgj-projects,-108,348,491,-1.37,0.0,rubio-cuba
jef,Justice and Education Fund (JEF),iran-network,500,94,449,-1.38,0.0,afgj-interlock
inv_sacp,South African Communist Party (SACP),rubio-cuba,154,265,226,-1.38,0.0,afgj-interlock
hatuey,The Hatuey Project,hatuey,1016,-84,592,-1.43,0.0,afgj-interlock
ucf,United Community Fund,singham-spine,177,87,202,-1.49,0.0,rubio-cuba
jacobin,Jacobin,rls-germany,71,-367,358,-1.5,0.0,iran-network
luvela,Smangele Luvela,singham-spine,-106,25,199,-1.5,0.0,afgj-interlock
wathington,Chad Wathington,singham-spine,110,352,193,-1.52,0.0,afgj-interlock
hub_communities_united,Communities United,afgj-interlock,246,-58,238,-1.6,0.0,latam-solidarity
delossantos,Manolo de los Santos,hatuey,748,-198,506,-1.61,0.0,singham-spine
rub_national_conference_of_bla,National Conference of Black Lawyers,rubio-cuba,326,346,78,-1.62,0.0,rls-germany
samidoun,Samidoun Palestinian Prisoner Solidarity Network,iran-network,578,-133,292,-1.73,0.0,afgj-interlock
kovalik,Dan Kovalik,latam-solidarity,514,276,380,-1.74,0.0,singham-spine
p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,afgj-projects,-363,-102,387,-1.76,0.0,singham-spine
p_labor_against_racism_and_war,Labor Against Racism and War,afgj-projects,257,-398,359,-1.87,0.0,rubio-cuba
p_sustainable_nations,Sustainable Nations,afgj-projects,-105,-453,352,-1.89,0.0,afgj-interlock
rose_benjamin,Rose Benjamin,iran-network,156,-304,213,-1.92,0.0,rubio-cuba
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,afgj-projects,-143,141,314,-2.04,0.0,singham-spine
p_unir,UNIR,afgj-projects,101,-72,94,-2.86,0.0,rubio-cuba
hub_hugo_chavez,Hugo Chavez,afgj-interlock,953,1727,1895,3.21,0.17,latam-solidarity
per_marlen_s_nchez,Marlen Sánchez,afgj-interlock,-82,1792,1731,2.73,0.17,latam-solidarity
p_orinoco_tribune,Orinoco Tribune,afgj-interlock,896,1562,1723,2.71,0.17,latam-solidarity
per_erika_takeo,Erika Takeo,afgj-interlock,79,1565,1500,2.06,0.17,latam-solidarity
p_good_shepherd_collective,Good Shepherd Collective,afgj-projects,196,1135,1272,1.56,0.17,afgj-interlock
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,afgj-projects,-290,1094,1259,1.51,0.17,rls-germany
rub_p_ren_gonz_lez,René González,rubio-cuba,1828,1680,2009,1.43,0.17,hatuey
bap,Black Alliance for Peace,latam-solidarity,80,-1117,1620,1.39,0.17,afgj-interlock
p_camino_com_n,Camino Común,afgj-projects,862,769,1226,1.39,0.17,afgj-interlock
p_pueblo_sin_fronteras,Pueblo Sin Fronteras,afgj-projects,-1128,268,1217,1.36,0.17,singham-spine
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,afgj-projects,-169,1051,1192,1.26,0.17,rls-germany
p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,afgj-interlock,-1157,132,1201,1.2,0.17,singham-spine
p_coalition_of_women_for_peace,Coalition of Women for Peace,afgj-interlock,1210,-207,1199,1.19,0.17,afgj-projects
rub_hezbollah,Hezbollah,rubio-cuba,1877,-765,1832,1.15,0.17,iran-network
rhc,Radio Havana Cuba / Prensa Latina / Granma,hatuey,1708,1636,1808,1.13,0.17,rubio-cuba
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,afgj-interlock,-810,-718,1157,1.07,0.17,afgj-projects
per_hannah_safran,Hannah Safran,afgj-interlock,-407,-996,1152,1.05,0.17,afgj-projects
